Tip_label	f
Ankylomyrma_coronacantha	1
Tatuidris_tatusia	1
Adetomyrma_bressleri	0.27
Adetomyrma_caputleae	0.27
Amblyopone_australis	0.2
Amblyopone_longidens	0.2
Apomyrma_stygia	1
Fulakora_armigera	0.24
Fulakora_cleae	0.24
Fulakora_elongata	0.24
Fulakora_minima	0.24
Fulakora_mystriops	0.24
Fulakora_saundersi	0.24
Myopopone_castanea	0.27
Mystrium_barrybressleri	0.27
Mystrium_camillae	0.27
Mystrium_janovitzi	0.27
Mystrium_mirror	0.27
Mystrium_mysticum	0.27
Mystrium_oberthueri	0.27
Mystrium_rogeri	0.27
Mystrium_shadow	0.27
Mystrium_voeltzkowi	0.27
Onychomyrmex_hedleyi	0.25
Prionopelta_amabilis	0.14
Prionopelta_concenta	0.14
Prionopelta_subtilis	0.14
Stigmatomma_bellii	0.27
Stigmatomma_boltoni	0.27
Stigmatomma_denticulatum	0.27
Stigmatomma_oregonense	0.27
Stigmatomma_pallipes	0.27
Stigmatomma_scrobiceps	0.27
Stigmatomma_silvestrii	0.27
Stigmatomma_zwaluwenburgi	0.27
Xymmer_muticus	0.27
Aneuretus_simoni	1
Anonychomyrma_gilberti	0.12
Anonychomyrma_itinerans	0.12
Anonychomyrma_nitidiceps	0.12
Axinidris_mlalu	0.1
Axinidris_murielae	0.1
Azteca_beltii	0.08
Azteca_instabilis	0.08
Azteca_oecocordia	0.08
Azteca_ovaticeps	0.08
Azteca_pittieri	0.08
Azteca_quadraticeps	0.08
Azteca_schimperi	0.08
Ravavy_miafina	1
Bothriomyrmex_meridionalis	0.12
Bothriomyrmex_paradoxus	0.12
Bothriomyrmex_saundersi	0.12
Chronoxenus_wroughtonii	0.17
Doleromyrma_darwiniana	0.5
Dolichoderus_debilis	0.05
Dolichoderus_decollatus	0.05
Dolichoderus_erectilobus	0.05
Dolichoderus_imitator	0.05
Dolichoderus_lamellosus	0.05
Dolichoderus_pustulatus	0.05
Dolichoderus_scabridus	0.05
Dorymyrmex_bicolor	0.07
Dorymyrmex_elegans	0.07
Dorymyrmex_grandulus	0.07
Dorymyrmex_planidens	0.07
Forelius_chalybaeus	0.11
Forelius_pruinosus	0.11
Froggattella_kirbii	1
Froggattella_latispina	1
Gracilidris_pombero	1
Iridomyrmex_pallidus	0.05
Iridomyrmex_purpureus	0.05
