generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-3.67185,-8617.92,50,0
5000,0,-3.15679,-7470.15,0.969615,0.424
10000,0,-3.18596,-7469.23,1.52435,0.177
15000,2,-2.24464,-7454.26,0.914378,0.288286
20000,1,-4.91355,-7459.95,4.65445,0.357556
25000,5,-7.30902,-7421.73,3.10695,0.415
30000,3,-3.63792,-7353.99,2.90322,0.284
35000,7,-2.94061,-7319.39,10.027,0.332
40000,6,-4.00134,-7320.04,4.13819,0.355
45000,8,-3.12895,-7377.71,6.192,0.431176
50000,7,-5.12334,-7404.11,4.86971,0.461
55000,11,-3.97121,-7352.47,10.5569,0.416375
60000,15,-10.3903,-7341.27,14.122,0.41
65000,14,-4.52188,-7269.69,11.7936,0.393
70000,12,-0.225061,-7266.66,17.7996,0.382
75000,11,-1.97145,-7239.75,14.9907,0.358
80000,13,-3.44253,-7232.98,13.7827,0.365
85000,15,-0.505147,-7230.34,14.1783,0.398
90000,19,-3.15185,-7213.16,16.8019,0.4165
95000,18,-16.5227,-7226.44,23.8324,0.439
100000,13,-3.22343,-7221.18,20.6759,0.44
105000,18,-7.81462,-7188.78,27.6944,0.437
110000,19,-2.14786,-7203,20.1458,0.4405
115000,15,-0.582235,-7194.01,16.965,0.454
120000,17,-3.14551,-7140.2,17.4871,0.38
125000,20,2.49494,-7104.15,23.5653,0.489
130000,25,-3.50691,-7188.92,27.8738,0.442
135000,21,-0.0523202,-7136.32,23.7467,0.426
140000,19,-5.56144,-7135.15,21.6166,0.432
145000,29,1.36503,-7095.78,30.2024,0.439
150000,30,-2.22475,-7093.99,26.5359,0.461333
155000,33,-1.67557,-7093.89,36.0691,0.515
160000,30,-2.72024,-7076.34,22.0997,0.481
165000,38,-10.1404,-7052,40.7019,0.467129
170000,32,-0.612991,-7035.34,35.9361,0.493
175000,27,0.790575,-7097.51,24.491,0.437519
180000,32,-0.72684,-7041.8,34.0794,0.467333
185000,33,-4.29554,-7029.5,30.8508,0.421
190000,27,-3.67653,-7059.11,20.6561,0.446556
195000,27,5.59213,-7034.27,33.9342,0.439
200000,38,-10.8734,-7023.69,27.0818,0.49
205000,35,-6.1285,-7019.61,32.2732,0.429
210000,34,4.78622,-7021.98,21.1354,0.461667
215000,28,-5.48361,-6992.44,31.9277,0.403
220000,24,-3.96585,-7030.16,29.3851,0.432222
225000,30,-5.515,-6993.18,38.2245,0.432
230000,20,-0.0523023,-7035.51,23.4312,0.361
235000,34,0.932582,-6976.78,31.9722,0.419
240000,32,3.42131,-7009.61,36.3037,0.420667
245000,31,1.88033,-6989.01,39.8872,0.428333
250000,38,-1.38148,-6988.59,36.155,0.468
255000,31,1.56479,-6992.9,36.7811,0.443
260000,34,7.88867,-6993.4,33.4729,0.412
265000,36,-0.52413,-6986.19,46.9081,0.42675
270000,30,-1.65917,-6991.13,21.4283,0.422
275000,31,-3.16515,-6990.07,25.1052,0.42
280000,32,-11.7108,-6985.06,36.0899,0.457
285000,36,-14.8322,-6990.09,35.2209,0.43575
290000,38,-2.85528,-6954.59,31.0609,0.399
295000,34,4.76726,-6985.09,33.0123,0.452
300000,37,-4.85478,-6956.44,38.4568,0.418
305000,30,1.32497,-6982.74,39.9205,0.4205
310000,32,-4.46308,-6988.72,46.3604,0.4265
315000,27,-6.71421,-6986.14,22.673,0.426629
320000,36,-0.665079,-6942.38,38.5052,0.421
325000,42,5.06101,-6950.57,42.4418,0.473
330000,36,-7.97045,-6951.36,44.9504,0.433063
335000,34,-4.09774,-6977.41,32.1366,0.444
340000,43,-5.87706,-6959.17,46.7232,0.4425
345000,41,-1.01255,-6958.1,39.5358,0.444
350000,34,-1.79071,-6966.3,38.2839,0.4521
355000,41,-5.66836,-6955.99,45.798,0.451
360000,35,-0.105961,-6957.33,43.9881,0.433
365000,32,-2.49741,-6965.63,28.4999,0.459
370000,27,-2.98064,-6948.47,24.9675,0.416611
375000,34,2.0101,-6951.91,34.632,0.433
380000,38,-7.35515,-6962.04,39.3787,0.481
385000,36,-6.34462,-6988.1,39.739,0.415
390000,29,-4.45931,-6963.3,26.4511,0.381
395000,41,-1.77803,-6961.87,42.757,0.4475
400000,37,-7.86209,-6960.26,48.653,0.433
405000,34,-1.35237,-6957.32,29.0291,0.426333
410000,32,-5.97274,-6942.16,36.3882,0.4434
415000,32,0.608076,-6958.11,35.0748,0.428
420000,39,9.66144,-6951.24,39.8546,0.471
425000,33,5.26381,-6940.61,31.1037,0.439
430000,33,0.246203,-6956.17,29.3744,0.4045
435000,29,-1.97777,-6945.57,25.0254,0.413
440000,33,-0.864778,-6970.61,36.6818,0.423
